Dipeptide,Proportion
RR,0.035781544256120526
ER,0.03327055869428751
RS,0.03327055869428751
DR,0.030759573132454487
SR,0.02824858757062147
RE,0.027620841180163214
RD,0.025109855618330193
RG,0.010671688637790333
EE,0.010043942247332079
EK,0.010043942247332079
KR,0.010043942247332079
LK,0.009416195856873822
RL,0.009416195856873822
GA,0.008788449466415568
PP,0.008160703075957313
SS,0.007532956685499058
GG,0.006905210295040804
KE,0.006905210295040804
SP,0.006905210295040804
EN,0.006277463904582548
GE,0.006277463904582548
GV,0.006277463904582548
KD,0.006277463904582548
KL,0.006277463904582548
RQ,0.006277463904582548
SG,0.006277463904582548
VA,0.006277463904582548
AA,0.005649717514124294
AG,0.005649717514124294
AS,0.005649717514124294
DK,0.005649717514124294
DL,0.005649717514124294
GP,0.005649717514124294
HR,0.005649717514124294
KI,0.005649717514124294
LV,0.005649717514124294
ND,0.005649717514124294
QQ,0.005649717514124294
RK,0.005649717514124294
SA,0.005649717514124294
VK,0.005649717514124294
AE,0.005021971123666039
AR,0.005021971123666039
DA,0.005021971123666039
ED,0.005021971123666039
EL,0.005021971123666039
KK,0.005021971123666039
LA,0.005021971123666039
LG,0.005021971123666039
LL,0.005021971123666039
PS,0.005021971123666039
PV,0.005021971123666039
QP,0.005021971123666039
QR,0.005021971123666039
RH,0.005021971123666039
SV,0.005021971123666039
TV,0.005021971123666039
VS,0.005021971123666039
AL,0.004394224733207784
DG,0.004394224733207784
GD,0.004394224733207784
GL,0.004394224733207784
IE,0.004394224733207784
IL,0.004394224733207784
LE,0.004394224733207784
LR,0.004394224733207784
PL,0.004394224733207784
PR,0.004394224733207784
RT,0.004394224733207784
SK,0.004394224733207784
TS,0.004394224733207784
AP,0.003766478342749529
AV,0.003766478342749529
DS,0.003766478342749529
ES,0.003766478342749529
GR,0.003766478342749529
LI,0.003766478342749529
LQ,0.003766478342749529
LS,0.003766478342749529
NE,0.003766478342749529
PQ,0.003766478342749529
RI,0.003766478342749529
SD,0.003766478342749529
ST,0.003766478342749529
TA,0.003766478342749529
TD,0.003766478342749529
TK,0.003766478342749529
VR,0.003766478342749529
AQ,0.003138731952291274
ET,0.003138731952291274
EV,0.003138731952291274
FS,0.003138731952291274
KA,0.003138731952291274
KN,0.003138731952291274
KS,0.003138731952291274
KT,0.003138731952291274
LD,0.003138731952291274
LN,0.003138731952291274
MK,0.003138731952291274
NS,0.003138731952291274
PE,0.003138731952291274
PG,0.003138731952291274
PT,0.003138731952291274
QG,0.003138731952291274
QK,0.003138731952291274
QL,0.003138731952291274
RN,0.003138731952291274
RP,0.003138731952291274
RV,0.003138731952291274
SL,0.003138731952291274
TE,0.003138731952291274
TR,0.003138731952291274
VE,0.003138731952291274
VG,0.003138731952291274
VL,0.003138731952291274
VT,0.003138731952291274
VV,0.003138731952291274
AI,0.0025109855618330196
DT,0.0025109855618330196
EG,0.0025109855618330196
FR,0.0025109855618330196
GN,0.0025109855618330196
GS,0.0025109855618330196
IR,0.0025109855618330196
IV,0.0025109855618330196
KG,0.0025109855618330196
KM,0.0025109855618330196
KQ,0.0025109855618330196
KV,0.0025109855618330196
LF,0.0025109855618330196
LH,0.0025109855618330196
NK,0.0025109855618330196
NR,0.0025109855618330196
PA,0.0025109855618330196
QT,0.0025109855618330196
RA,0.0025109855618330196
SE,0.0025109855618330196
SH,0.0025109855618330196
TL,0.0025109855618330196
VF,0.0025109855618330196
VI,0.0025109855618330196
VN,0.0025109855618330196
YN,0.0025109855618330196
AK,0.0018832391713747645
AT,0.0018832391713747645
EQ,0.0018832391713747645
FF,0.0018832391713747645
GK,0.0018832391713747645
GT,0.0018832391713747645
HS,0.0018832391713747645
IG,0.0018832391713747645
IK,0.0018832391713747645
IN,0.0018832391713747645
IQ,0.0018832391713747645
IT,0.0018832391713747645
LP,0.0018832391713747645
LT,0.0018832391713747645
ME,0.0018832391713747645
MR,0.0018832391713747645
NL,0.0018832391713747645
NN,0.0018832391713747645
NV,0.0018832391713747645
NY,0.0018832391713747645
QE,0.0018832391713747645
QM,0.0018832391713747645
RM,0.0018832391713747645
SF,0.0018832391713747645
SQ,0.0018832391713747645
TI,0.0018832391713747645
TN,0.0018832391713747645
TP,0.0018832391713747645
TT,0.0018832391713747645
VP,0.0018832391713747645
YD,0.0018832391713747645
AD,0.0012554927809165098
AF,0.0012554927809165098
AM,0.0012554927809165098
CC,0.0012554927809165098
CS,0.0012554927809165098
CT,0.0012554927809165098
DD,0.0012554927809165098
DE,0.0012554927809165098
DF,0.0012554927809165098
DI,0.0012554927809165098
DN,0.0012554927809165098
DQ,0.0012554927809165098
DV,0.0012554927809165098
DY,0.0012554927809165098
EH,0.0012554927809165098
EM,0.0012554927809165098
EP,0.0012554927809165098
FD,0.0012554927809165098
FI,0.0012554927809165098
FK,0.0012554927809165098
FL,0.0012554927809165098
FT,0.0012554927809165098
GF,0.0012554927809165098
GI,0.0012554927809165098
GQ,0.0012554927809165098
GW,0.0012554927809165098
GY,0.0012554927809165098
HA,0.0012554927809165098
HI,0.0012554927809165098
HK,0.0012554927809165098
HP,0.0012554927809165098
IA,0.0012554927809165098
IF,0.0012554927809165098
IH,0.0012554927809165098
II,0.0012554927809165098
IP,0.0012554927809165098
KP,0.0012554927809165098
KY,0.0012554927809165098
MD,0.0012554927809165098
MG,0.0012554927809165098
MT,0.0012554927809165098
NC,0.0012554927809165098
NG,0.0012554927809165098
NH,0.0012554927809165098
NI,0.0012554927809165098
NM,0.0012554927809165098
NP,0.0012554927809165098
NQ,0.0012554927809165098
PD,0.0012554927809165098
QA,0.0012554927809165098
QD,0.0012554927809165098
QI,0.0012554927809165098
QV,0.0012554927809165098
RC,0.0012554927809165098
RY,0.0012554927809165098
SI,0.0012554927809165098
SN,0.0012554927809165098
SY,0.0012554927809165098
TG,0.0012554927809165098
VC,0.0012554927809165098
VD,0.0012554927809165098
VQ,0.0012554927809165098
VY,0.0012554927809165098
WN,0.0012554927809165098
WT,0.0012554927809165098
YL,0.0012554927809165098
YR,0.0012554927809165098
AC,0.0006277463904582549
AN,0.0006277463904582549
AY,0.0006277463904582549
CA,0.0006277463904582549
CG,0.0006277463904582549
CK,0.0006277463904582549
CL,0.0006277463904582549
CN,0.0006277463904582549
CP,0.0006277463904582549
CR,0.0006277463904582549
CV,0.0006277463904582549
CY,0.0006277463904582549
DH,0.0006277463904582549
DP,0.0006277463904582549
EA,0.0006277463904582549
EW,0.0006277463904582549
FC,0.0006277463904582549
FG,0.0006277463904582549
FN,0.0006277463904582549
FP,0.0006277463904582549
FQ,0.0006277463904582549
FV,0.0006277463904582549
HF,0.0006277463904582549
HG,0.0006277463904582549
HL,0.0006277463904582549
HM,0.0006277463904582549
HQ,0.0006277463904582549
HT,0.0006277463904582549
HV,0.0006277463904582549
ID,0.0006277463904582549
IS,0.0006277463904582549
KC,0.0006277463904582549
KF,0.0006277463904582549
KH,0.0006277463904582549
LC,0.0006277463904582549
LW,0.0006277463904582549
LY,0.0006277463904582549
MI,0.0006277463904582549
MM,0.0006277463904582549
MP,0.0006277463904582549
NA,0.0006277463904582549
NT,0.0006277463904582549
PF,0.0006277463904582549
PH,0.0006277463904582549
PI,0.0006277463904582549
PM,0.0006277463904582549
PN,0.0006277463904582549
QH,0.0006277463904582549
QN,0.0006277463904582549
QS,0.0006277463904582549
RF,0.0006277463904582549
RW,0.0006277463904582549
SC,0.0006277463904582549
SM,0.0006277463904582549
SW,0.0006277463904582549
TC,0.0006277463904582549
TF,0.0006277463904582549
TH,0.0006277463904582549
TQ,0.0006277463904582549
TW,0.0006277463904582549
TY,0.0006277463904582549
VH,0.0006277463904582549
VW,0.0006277463904582549
WE,0.0006277463904582549
WG,0.0006277463904582549
WL,0.0006277463904582549
WV,0.0006277463904582549
YC,0.0006277463904582549
YE,0.0006277463904582549
YF,0.0006277463904582549
YQ,0.0006277463904582549
YS,0.0006277463904582549
YT,0.0006277463904582549
YY,0.0006277463904582549
AH,0.0
AW,0.0
CD,0.0
